,,"""Auto Import"" Row Upper Limit:",30000,,Date Range Start,4/9/2020,Date Range End,4/20/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Store Name,Last Delivery,Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A & S Grocery,4/15/2020,"Apple, Red Delicious",Blueberries,"Carrots, Organic","Garlic, Loose",Ginger,"Onion, Red","Onion, Yellow","Orange, Small (valencia)","Potato, Baking Idaho","Spinach, Bag",Strawberries,"Tomato, Slicer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambo Market,4/16/2020,"Apple, Red Delicious",Blueberries,"Garlic, Loose",Ginger,"Onion, Red","Onion, Yellow","Orange, Small (valencia)","Potato, Baking Idaho","Spinach, Bag",Strawberries,"Tomato, Slicer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anacostia Market,4/16/2020,"Apple, Red Delicious",Blueberries,"Carrots, Organic","Garlic, Loose",Ginger,"Onion, Red","Onion, White","Onion, Yellow","Orange, Small (valencia)","Pear, Red","Potato, Baking Idaho","Spinach, Bag",Strawberries,"Tomato, Slicer",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bodega Market (Florida Avenue),4/14/2020,"Apple, Golden Delicious","Avocado, Hass",Banana,"Grapes, Red seedless, Fresh Cut",Lemon,Lime,"Onion, Yellow","Orange, Large","Potato, Baking Idaho",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BP Blair Gas Station,4/17/2020,"Arugula, Bowery Farm Special","Avocado, Hass",Banana,"Butter head lettuce, Bowery Farm Special","Carrots, Organic",Cilantro,Ginger,Lemon,Lime,"Mango, Organic","Mushroom, Baby Bella","Onion, Green (scallion)","Onion, Yellow","Orange, Large","Pepper, Green","Pepper, Jalapeno","Potato, Baking Idaho","Strawberries, Fresh Cut",,,,,,,,,,,,,,,,,,,,,,,,
Brookland Market,4/16/2020,"Apple, Red Delicious",Blueberries,"Carrots, Organic","Garlic, Loose",Ginger,"Onion, Red","Onion, Yellow","Orange, Small (valencia)","Potato, Baking Idaho","Spinach, Bag","Tomato, Slicer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capitol Market,4/14/2020,"Apple, Golden Delicious",Banana,"Fruit, Fresh Cut Mixed","Garlic, Loose","Onion, Red","Orange, Large","Pepper, Green","Pepper, Jalapeno","Pineapple, Fresh Cut","Potato, Baking Idaho",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Circle 7 (Circle Seven),4/16/2020,"Avocado, Hass",Banana,"Grapes, Green seedless, Fresh Cut","Grapes, Red seedless, Fresh Cut",Lemon,"Mango, Fresh Cut","Onion, Yellow","Orange, Large","Pepper, Green","Trail Mix, Healthy Corners",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dollar Plus Food Store (Bladensburg Road),4/16/2020,"Apple, Red Delicious",Blueberries,"Carrots, Organic","Garlic, Loose",Ginger,"Onion, Red","Onion, Yellow","Orange, Small (valencia)","Potato, Baking Idaho","Spinach, Bag",Strawberries,"Tomato, Slicer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Economy Market,4/16/2020,"Apple, Golden Delicious","Avocado, Hass",Banana,"Carrots, Organic","Fruit, Fresh Cut Mixed","Garlic, peeled (bag)","Grapes, Green seedless, Fresh Cut","Grapes, Mix seedless, Fresh Cut","Grapes, Red seedless, Fresh Cut","Kiwi, 4 pack",Lemon,"Mango, Fresh Cut",Mint,"Onion, Red","Onion, Yellow","Orange, Large","Pepper, Green","Pepper, Jalapeno","Pepper, Red",Plum,Strawberries,Tangerines & Clementine,"Tomato, Slicer","Watermelon, Fresh Cut",,,,,,,,,,,,,,,,,,
FlexCare Pharmacy,4/16/2020,"Apple, Red Delicious",Blueberries,"Carrots, Organic","Garlic, Loose",Ginger,"Onion, Red","Onion, White","Onion, Yellow","Orange, Small (valencia)","Pear, Red","Potato, Baking Idaho","Spinach, Bag",Strawberries,"Tomato, Slicer",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fort Drum Market,4/14/2020,Banana,"Fruit, Fresh Cut Mixed","Garlic, Loose","Garlic, peeled (bag)","Grapes, Green seedless, Fresh Cut","Grapes, Mix seedless, Fresh Cut","Grapes, Red seedless, Fresh Cut",Lemon,"Orange, Large","Pepper, Green","Pineapple, Whole","Strawberries, Fresh Cut","Tomato, Slicer","Watermelon, Fresh Cut",,,,,,,,,,,,,,,,,,,,,,,,,,,,
G & G Grocery,4/16/2020,"Apple, Red Delicious",Blueberries,"Carrots, Organic","Garlic, Loose",Ginger,"Onion, Red","Onion, White","Onion, Yellow","Orange, Small (valencia)","Pear, Red","Potato, Baking Idaho","Spinach, Bag",Strawberries,"Tomato, Slicer",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grubb's Southeast Pharmacy,4/13/2020,"Apple, Red Delicious",Blueberries,"Clementines, bag","Fruit, Fresh Cut Mixed","Grapes, Mix seedless, Fresh Cut","Grapes, Red seedless, Fresh Cut",Lemon,"Mushroom, White (clamshell)","Orange, Large","Pear, Bartlett","Pepper, Green","Pineapple, Fresh Cut","Potato, Baking Idaho","Strawberries, Fresh Cut","Tomato, grape (organic)","Watermelon, Fresh Cut",,,,,,,,,,,,,,,,,,,,,,,,,,
Helen Mart,4/16/2020,"Apple, Red Delicious",Blueberries,"Carrots, Organic","Garlic, Loose",Ginger,"Onion, Red","Onion, White","Onion, Yellow","Orange, Small (valencia)","Pear, Red","Potato, Baking Idaho","Spinach, Bag",Strawberries,"Tomato, Slicer",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holiday Market,4/14/2020,Banana,"Fruit, Fresh Cut Mixed",Ginger,"Grapes, Green seedless, Fresh Cut","Grapes, Red seedless, Fresh Cut",Lemon,Lime,"Orange, Large","Pepper, Jalapeno","Pineapple, Fresh Cut","Potato, Baking Idaho","Tomato, Slicer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ken Mart Inc,4/15/2020,"Apple, Red Delicious",Banana,"Fruit, Fresh Cut Mixed","Grapes, Red seedless, Fresh Cut",Lemon,Lime,"Onion, Yellow","Pepper, Green","Watermelon, Fresh Cut",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market 77,4/14/2020,Banana,Lemon,Lime,"Onion, Red","Orange, Large","Tomato, Slicer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McKinley Market,4/16/2020,"Apple, Red Delicious",Blueberries,"Carrots, Organic","Garlic, Loose",Ginger,"Onion, Red","Onion, Yellow","Orange, Small (valencia)","Potato, Baking Idaho","Spinach, Bag","Tomato, Slicer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mellon Market,4/14/2020,"Apple, Golden Delicious","Avocado, Hass",Banana,"Fruit, Fresh Cut Mixed","Garlic, Loose","Grapes, Green seedless, Fresh Cut","Grapes, Mix seedless, Fresh Cut","Grapes, Red seedless, Fresh Cut",Lemon,Lime,"Onion, Yellow","Orange, Large","Pepper, Green","Pepper, Jalapeno","Pineapple, Fresh Cut","Strawberries, Fresh Cut","Watermelon, Fresh Cut",,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota Food Mart,4/16/2020,"Apple, Red Delicious",Blueberries,"Carrots, Organic","Garlic, Loose",Ginger,"Onion, Red","Onion, White","Onion, Yellow","Orange, Small (valencia)","Pear, Red","Potato, Baking Idaho","Spinach, Bag",Strawberries,"Tomato, Slicer",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nams Market,4/10/2020,Banana,"Grapes, Mix seedless, Fresh Cut","Mango, Organic","Onion, Red","Orange, Large","Pineapple, Fresh Cut",Strawberries,"Tomato, Slicer","Trail Mix, Healthy Corners",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neighborhood Market,4/16/2020,"Apple, Red Delicious",Blueberries,"Carrots, Organic","Corn, Yellow","Garlic, Loose",Ginger,"Onion, Red","Orange, Large","Pear, Red","Potato, Baking Idaho","Spinach, Fresh Cut (Organic)","Strawberries, Fresh Cut","Tomato, Slicer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
