,,"""Auto Import"" Row Upper Limit:",30000,,Date Range Start,4/9/2020,Date Range End,4/20/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Store Name,Last Delivery,Products,,Auto Import' Row Upper Limit:,8000,Date Range Start,3/30/2020,Date Range End,4/17/2020,Formula,"IFERROR(TRANSPOSE(UNIQUE( FILTER( 'Auto Import'!$D$1:$D$8000, 'Auto Import'!$A$1:$A$8000 = A9, 'Auto Import'!$B$1:$B$8000 > $E$1, 'Auto Import'!$B$1:$B$8000 < $G$1 ) ) ))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A & S Grocery,4/15/2020,"Apple, Red Delicious","Orange, Small (valencia)","Potato, Baking Idaho",Strawberries,Blueberries,"Spinach, Bag","Carrots, Organic","Tomato, Slicer",Ginger,"Garlic, Loose","Onion, Red","Onion, Yellow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambo Market,4/16/2020,"Apple, Red Delicious","Potato, Baking Idaho",Strawberries,Blueberries,"Spinach, Bag","Onion, Red","Onion, Yellow",Ginger,"Garlic, Loose","Orange, Small (valencia)","Tomato, Slicer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anacostia Market,4/16/2020,"Apple, Red Delicious","Potato, Baking Idaho",Strawberries,Blueberries,"Spinach, Bag","Carrots, Organic","Tomato, Slicer","Orange, Small (valencia)","Pear, Red",Ginger,"Garlic, Loose","Onion, Red","Onion, Yellow","Onion, White",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bodega Market (Florida Avenue),4/14/2020,"Grapes, Red seedless, Fresh Cut","Strawberries, Fresh Cut","Apple, Golden Delicious","Apple, Red Delicious",Banana,Lemon,Lime,"Orange, Large","Onion, Red","Onion, Yellow","Potato, Baking Idaho","Avocado, Hass",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BP Blair Gas Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookland Market,4/16/2020,"Apple, Red Delicious",Blueberries,"Carrots, Organic","Garlic, Loose",Ginger,"Onion, Red","Onion, Yellow","Orange, Small (valencia)","Tomato, Slicer","Spinach, Bag","Potato, Baking Idaho",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookland Supermarket and Deli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capitol Market,4/14/2020,"Fruit, Fresh Cut Mixed","Grapes, Green seedless, Fresh Cut","Grapes, Red seedless, Fresh Cut","Mango, Fresh Cut","Pineapple, Fresh Cut","Apple, Golden Delicious","Apple, Red Delicious",Banana,Lemon,Lime,"Mango, Organic","Orange, Large","Avocado, Hass","Pepper, Green","Pepper, Jalapeno","Potato, Baking Idaho","tomato, cherry","Tomato, Slicer",Ginger,"Onion, Red","Garlic, Loose",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Circle 7 (Circle Seven),4/16/2020,Banana,"Grapes, Red seedless, Fresh Cut","Watermelon, Fresh Cut","Pepper, Green","Orange, Large","Fruit, Fresh Cut Mixed","Grapes, Green seedless, Fresh Cut","Mango, Fresh Cut","Avocado, Hass","Grapes, Mix seedless, Fresh Cut","Onion, Yellow","Trail Mix, Healthy Corners",Lemon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crown Gas Station (Florida Avenue),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
