Store Name,Products,Data range: rows 21k-25k,Date Range Start,4/2/2020,Date Range End,4/12/2020,Formula,"Formula: IFERROR(TRANSPOSE(UNIQUE( FILTER( 'Auto Import'!$D$21000:$D$25000, 'Auto Import'!$A$21000:$A$25000 = A9, 'Auto Import'!$B$21000:$B$25000 > $E$1, 'Auto Import'!$B$21000:$B$25000 < $G$1 ) ) ))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A & S Grocery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambo Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anacostia Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bodega Market (Florida Avenue),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BP Blair Gas Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookland Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookland Supermarket and Deli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capitol Market,"Fruit, Fresh Cut Mixed","Grapes, Green seedless, Fresh Cut","Grapes, Red seedless, Fresh Cut","Pineapple, Fresh Cut","Apple, Golden Delicious","Apple, Red Delicious",Banana,Lemon,Lime,"Mango, Organic","Orange, Large","Avocado, Hass",Ginger,"Onion, Red","Potato, Baking Idaho","Tomato, Slicer",,,,,,,,,,,,,,,,,,,,,,,
Circle 7 (Circle Seven),"Fruit, Fresh Cut Mixed","Grapes, Green seedless, Fresh Cut","Mango, Fresh Cut",Banana,"Avocado, Hass","Grapes, Red seedless, Fresh Cut","Grapes, Mix seedless, Fresh Cut",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crown Gas Station (Florida Avenue),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC Food Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC Mini Mart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dollar Plus Food Store (Bladensburg Road),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dollar Plus Food Store (Pennsylvania Avenue),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dollar Plus Food Super Market (Howard Road),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Economy Market,Banana,Ginger,"Garlic, Loose","Mango, Fresh Cut","Pineapple, Fresh Cut","Grapes, Green seedless, Fresh Cut","Strawberries, Fresh Cut",Lemon,Lime,"Avocado, Hass","Tomato, Slicer","Onion, Red","Onion, Yellow","Fruit, Fresh Cut Mixed","Grapes, Mix seedless, Fresh Cut","Grapes, Red seedless, Fresh Cut","Watermelon, Fresh Cut","Apple, Red Delicious","Orange, Large",Plum,"Pepper, Green","Potato, Baking Idaho",,"Garlic, peeled (bag)",Mint,"Apple, Golden Delicious","Pepper, Red","Pepper, Jalapeno",,,,,,,,,,,
Elmira Grocery,"Grapes, Green seedless, Fresh Cut","Grapes, Red seedless, Fresh Cut","Mango, Fresh Cut","Watermelon, Fresh Cut",Strawberries,"Fruit, Fresh Cut Mixed","Grapes, Mix seedless, Fresh Cut",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
